quant	num_ctx	size	processor	eval_tok_s
IQ2_M	262144	9.2GB	100% GPU	240.8
IQ2_M	524288	15GB	100% GPU	243.8
IQ2_M	1048576	26GB	100% GPU	239.4
IQ3_XXS	262144	9.5GB	100% GPU	235.3
IQ3_XXS	524288	15GB	100% GPU	238.2
IQ3_XXS	1048576	27GB	100% GPU	225.6
Q2_K	262144	9.5GB	100% GPU	231.4
Q2_K	524288	15GB	100% GPU	227.7
Q2_K	1048576	27GB	100% GPU	223.9
Q3_K_M	262144	10GB	100% GPU	208.6
Q3_K_M	524288	16GB	100% GPU	209.9
Q3_K_M	1048576	27GB	100% GPU	203.3
IQ4_XS	262144	10GB	100% GPU	204.8
IQ4_XS	524288	16GB	100% GPU	207.7
IQ4_XS	1048576	28GB	100% GPU	206.6
Q4_K_M	262144	11GB	100% GPU	185.7
Q4_K_M	524288	16GB	100% GPU	191.9
Q4_K_M	1048576	28GB	100% GPU	189.9
Q5_K_M	262144	11GB	100% GPU	178.3
Q5_K_M	524288	17GB	100% GPU	181.2
Q5_K_M	1048576	29GB	100% GPU	178.2
Q6_K	262144	12GB	100% GPU	162.2
Q6_K	524288	18GB	100% GPU	163.0
Q6_K	1048576	30GB	100% GPU	162.0
Q8_0	262144	14GB	100% GPU	138.7
Q8_0	524288	20GB	100% GPU	141.2
Q8_0	1048576	34GB	7%/93% CPU/GPU	71.4
